211792;654130;12511
211793;653827;15075
211796;654130;12511
211798;654186;15634
211800;653827;15885
211801;654130;12513
211804;654009;2712
211805;654087;13718
211806;654216;1881
211807;654066;2643
211808;654212;1881
211810;654186;15745
211811;654130;14545
211812;654118;13485
211813;654066;2643
211817;653981;1881
211820;654087;14473
211821;654216;13310
211822;654186;15747
211823;654209;13871
211827;653694;2948
211829;654249;13796
211830;654186;15753
211831;653542;9990
211833;654252;12573
211834;654237;12913
211835;654251;13227
211836;654216;13310
211837;654087;13717
211839;653542;9990
211842;654251;15753
211843;654216;15111
211844;654248;413
211845;653542;9988
211846;654186;1881
211847;654253;1881
211848;654216;15753
211850;654270;15075
211851;654267;12587
211852;654212;1881
211853;654087;13719
211855;654282;1881
211857;654273;1794
211860;653981;1881
211861;653827;15885
211865;654296;15886
211866;654313;13310
211868;654310;13733
211871;654313;12587
211875;654313;15753
211876;654317;15332
211878;654237;12913
211881;654087;13714
211882;654349;13310
211883;654350;1391
211887;654064;15908
211888;653774;15950
211891;654345;15950
211896;654087;15659
211899;654087;13133
211900;654385;13603
211901;654392;13310
211902;654397;1881
211903;654381;15753
211904;654087;15260
211906;654366;13310
211907;654348;13796
211908;654393;15753
211910;654399;15763
211911;654400;2606
211913;654087;2873
211915;654413;15315
211916;654396;2582
211917;654393;13813
211918;654393;13813
211919;654391;3281
211920;654087;1160
211922;654413;15420
211926;654231;1881
211927;654393;1881
211928;654449;13077
211930;654409;13081
211932;654404;14526
211937;654413;15887
211938;654463;13081
211939;654446;13077
211940;654413;15888
211942;653305;13077
211943;654413;15039
211946;654413;15084
211947;654483;2948
211949;654386;14474
211950;654478;4899
211951;654386;2865
211952;654492;14033
211953;654478;4971
211954;654409;12516
211957;654492;2899
211958;654087;14477
211959;654490;14916
211960;654483;15413
211961;654411;1881
211962;654509;14071
211964;654508;15753
211967;654478;4899
211974;654508;15753
211979;654087;3701
211985;654529;2694
211986;654529;15134
211988;654557;15373
211990;654560;3051
211991;654560;3051
211992;654087;13133
211993;654568;15753
211996;654552;1881
211997;654544;15420
212000;654581;12575
212001;654449;13229
212005;654607;14051
212006;654614;13064
212008;654575;3151
212012;654535;13064
212013;654087;2865
212014;654385;13603
212016;654575;15137
212017;654624;2712
212018;654607;12971
212019;654637;1033
212020;654531;13086
212021;654531;15291
212022;654453;1881
212028;654575;15137
212029;654222;1881
212030;654649;14965
212031;654638;1546
212035;654575;2694
212036;654575;15134
212037;654535;2694
212038;654535;15134
212039;654535;12913
212040;654529;13064
212042;654562;14071
212043;654666;12913
212044;654679;14055
212045;654660;12516
212046;654529;13796
212047;654562;14071
212050;654087;2865
212055;654087;14474
212056;654607;2694
212057;654607;15134
212060;654736;3041
212061;654087;13714
212063;654385;13603
212064;654719;1455
212067;654087;13053
212068;654719;1454
212070;654087;2871
212071;654666;12913
212074;654606;1881
212075;654704;14916
212076;654087;3718
212077;654764;15947
212081;654666;12913
212082;654780;14208
